path,template,status,canonical,robots,title,title_len,h1,description_len,internal_links_out,schema_types,missing_alt
/,core/solution,200,https://www.pgak.co.in,"index, follow",AI Video Analytics for Existing CCTV Cameras | PGAK,51,AI Video Analyticsfor ExistingCCTV Cameras.,159,173,Answer;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;SoftwareApplication;WebPage;WebSite,0
/about,core/solution,200,https://www.pgak.co.in/about,"index, follow",About PGAK — Intelligent CCTV Built for India,45,Security that thinks — not just records.,142,89,BreadcrumbList;ContactPoint;Country;EntryPoint;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;SearchAction;WebPage;WebSite,0
/ai-cctv-amritsar,city,200,https://www.pgak.co.in/ai-cctv-amritsar,"index, follow","AI CCTV in Amritsar — Markets, Hotels, Food Units",49,AI CCTV and intruder detection in Amritsar,143,108,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-batala,city,200,https://www.pgak.co.in/ai-cctv-batala,"index, follow",AI CCTV in Batala — Foundries and Machine Tools,47,AI CCTV and intruder detection in Batala,144,108,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-bathinda,city,200,https://www.pgak.co.in/ai-cctv-bathinda,"index, follow","AI CCTV in Bathinda — Cotton, Grain and Fuel Belt",49,AI CCTV and intruder detection in Bathinda,146,108,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-bengaluru,city,200,https://www.pgak.co.in/ai-cctv-bengaluru,"index, follow","AI CCTV in Bengaluru — Campuses, Peenya, Gated",46,AI CCTV and intruder detection in Bengaluru,143,107,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-chandigarh-mohali,city,200,https://www.pgak.co.in/ai-cctv-chandigarh-mohali,"index, follow",AI CCTV in Chandigarh & Mohali — Offices to Zirakpur,52,AI CCTV and intruder detection in Chandigarh & Mohali,137,108,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-coimbatore,city,200,https://www.pgak.co.in/ai-cctv-coimbatore,"index, follow","AI CCTV in Coimbatore — Mills, Pumps, Foundries",47,AI CCTV and intruder detection in Coimbatore,144,107,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-delhi-ncr,city,200,https://www.pgak.co.in/ai-cctv-delhi-ncr,"index, follow","AI CCTV in Delhi NCR — Retail, Offices, Logistics",49,AI CCTV and intruder detection in Delhi NCR,146,107,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-for-offices,solution,200,https://www.pgak.co.in/ai-cctv-for-offices,"index, follow",AI CCTV for Offices — Tailgating & After-Hours Alerts | PGAK,60,"AI CCTV for offices — quiet during the day, wide awake at night",142,108,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-for-warehouses,solution,200,https://www.pgak.co.in/ai-cctv-for-warehouses,"index, follow",Warehouse Video Analytics & AI CCTV in India | PGAK,51,AI CCTV and video analytics for warehouses,143,111,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-gurugram,city,200,https://www.pgak.co.in/ai-cctv-gurugram,"index, follow","AI CCTV in Gurugram — Offices, Societies, Manesar",49,AI CCTV and intruder detection in Gurugram,140,107,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-hoshiarpur,city,200,https://www.pgak.co.in/ai-cctv-hoshiarpur,"index, follow","AI CCTV in Hoshiarpur — Plywood, Timber, NRI Homes",50,AI CCTV and intruder detection in Hoshiarpur,144,108,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-jaipur,city,200,https://www.pgak.co.in/ai-cctv-jaipur,"index, follow","AI CCTV in Jaipur — Jewellery, Hotels, Sitapura",47,AI CCTV and intruder detection in Jaipur,138,107,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-jalandhar,city,200,https://www.pgak.co.in/ai-cctv-jalandhar,"index, follow","AI CCTV in Jalandhar — Sports Goods, Tools, Leather",51,AI CCTV and intruder detection in Jalandhar,143,109,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-khanna,city,200,https://www.pgak.co.in/ai-cctv-khanna,"index, follow",AI CCTV in Khanna — Grain Mandi and Shellers,44,AI CCTV and intruder detection in Khanna,141,108,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-ludhiana,city,200,https://www.pgak.co.in/ai-cctv-ludhiana,"index, follow","AI CCTV in Ludhiana — Our Home City, Our Team",45,AI CCTV and intruder detection in Ludhiana,149,110,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-mandi-gobindgarh,city,200,https://www.pgak.co.in/ai-cctv-mandi-gobindgarh,"index, follow",AI CCTV in Mandi Gobindgarh — Furnaces & Scrap,46,AI CCTV and intruder detection in Mandi Gobindgarh,144,108,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-moga,city,200,https://www.pgak.co.in/ai-cctv-moga,"index, follow","AI CCTV in Moga — Dairy, Food and Cold Chain",44,AI CCTV and intruder detection in Moga,146,108,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-mumbai,city,200,https://www.pgak.co.in/ai-cctv-mumbai,"index, follow","AI CCTV in Mumbai — Retail, Bhiwandi, Societies",47,AI CCTV and intruder detection in Mumbai,145,107,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-noida,city,200,https://www.pgak.co.in/ai-cctv-noida,"index, follow","AI CCTV in Noida — Sectors, Expressway, Societies",49,AI CCTV and intruder detection in Noida,145,107,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-cctv-patiala,city,200,https://www.pgak.co.in/ai-cctv-patiala,"index, follow","AI CCTV in Patiala — Campuses, Machinery, Kothis",48,AI CCTV and intruder detection in Patiala,148,108,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;Place;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-intruder-detection,core/solution,200,https://www.pgak.co.in/ai-intruder-detection,"index, follow",AI Intruder Detection on the CCTV You Already Own | PGAK,56,"AI intruder detection that alerts you in seconds, not the next morning",137,109,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/ai-surveillance-system,core/solution,200,https://www.pgak.co.in/ai-surveillance-system,"index, follow",AI Surveillance System for Existing CCTV | PGAK,47,An AI surveillance system you can run on the cameras already on your wall,162,113,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/anpr-number-plate-recognition,core/solution,200,https://www.pgak.co.in/anpr-number-plate-recognition,"index, follow",ANPR System for Gates & Vehicle Logging | PGAK,46,An ANPR system that turns the gate register into something you can search,156,111,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/areas-we-serve,core/solution,200,https://www.pgak.co.in/areas-we-serve,"index, follow",Areas We Serve — AI CCTV Across India | PGAK,44,Where PGAK deploys AI CCTV,152,107,BreadcrumbList;ContactPoint;Country;EntryPoint;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;SearchAction;WebPage;WebSite,0
/attendance-system-for-construction-sites,attendance-industry,200,https://www.pgak.co.in/attendance-system-for-construction-sites,"index, follow",Construction Site Attendance for Daily-Wage Labour | PGAK,57,Construction attendance for a workforce that changes every week,141,109,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/attendance-system-for-factories,attendance-industry,200,https://www.pgak.co.in/attendance-system-for-factories,"index, follow",Factory Attendance System — No Queue at the Gate | PGAK,55,An attendance system built for a factory gate at shift change,124,110,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/attendance-system-for-offices,attendance-industry,200,https://www.pgak.co.in/attendance-system-for-offices,"index, follow",Office Attendance System — No Machine at Reception | PGAK,57,An office attendance system with nothing to touch at reception,136,108,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/attendance-system-for-schools,attendance-industry,200,https://www.pgak.co.in/attendance-system-for-schools,"index, follow",School & College Attendance System — Staff and Campus | PGAK,60,School attendance that does not cost you the first ten minutes of the day,137,107,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/attendance-system-for-warehouses,attendance-industry,200,https://www.pgak.co.in/attendance-system-for-warehouses,"index, follow",Warehouse Attendance System — Every Bay Covered | PGAK,54,"Warehouse attendance that covers the loading bay, not just the office door",145,108,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
