cluster,buyer / problem,evidence + date (2026),demand signal,existing URL,product fit,serviceability,proof gap,conversion action,priority,confidence
AI on existing CCTV,"Has cameras, no alerts","Perplexity 23 Sep: PGAK in source list, not cited; competitors answer with retrofit tables. Google 22 Sep: competitors lead with 'on your own feeds'","Trends 'video analytics' IN ~26 avg (relative, not volume)",/video-analytics-software,Verified core product,Remote assessment anywhere,No original demo video; no published compatibility list,Free camera check,P1,Medium
AI CCTV pricing,Wants a number before calling,"Google 22-23 Sep: AI Overview answers with per-camera ranges, cites VIZO361/SIEORA/IndoAI. PAA 'How much does CCTV installation cost'",High commercial intent; ranges published by competitors,/pricing + buyer packs,Priced per camera/month (no published rate),n/a,Owner has not approved publishing any range,Quote request,P1,High
New CCTV installation,"New factory/warehouse, no cameras",Google 22 Sep 'cctv installation company for factory india': local pack + directories dominate,"Local-intent, GBP-led",/cctv-installation-company,Turnkey per site copy,Availability confirmed per project (C2 unresolved),Delivery model unconfirmed; no GBP verified,Site consultation,P1,Medium
Factory security,"Plant: gate, boundary, shift",Site copy + PAA patterns; no GSC data,Unknown without GSC,/factory-security,Verified,Punjab own team (Ludhiana); elsewhere per project,No measured plant results,Free camera check,P2,Medium
Warehouse / loading bay,"Shrinkage, after-hours, docks",Google 23 Sep: competitors have dock-specific pages; PAA on camera choice + monitoring cost,Unknown volume; clear intent,/ai-cctv-for-warehouses,Verified,Same,No warehouse demo,Free camera check,P2,Medium
ANPR at gates,Wants searchable vehicle log,"Google 22 Sep: PGAK feature page surfaced, not service page (fixed). Perplexity 23 Sep: source-listed only; competitors publish specs/accuracy",Spec-led buyers compare numbers,/anpr-number-plate-recognition,"Verified, per lane",Per project,No measured read-rate from a real gate,Free camera check,P1,Medium
Intrusion / perimeter,"False alarms, night break-ins",Trends 'intrusion detection' spiky and ambiguous (cyber meaning),Ambiguous term; buy intent sits on 'perimeter',"/ai-intruder-detection, /smart-perimeter-protection",Verified,Per project,No night-time demo clip,Free camera check,P2,Low-Medium
Multi-site monitoring,"Chains, several plants",Site copy; no external evidence yet,Unknown,/multi-site-cctv-monitoring,Verified,Per project,No multi-site reference,Free site check,P3,Low
Attendance from CCTV,Queue at shift change,Trends 'face recognition attendance' IN ~4 (relative),"Low relative interest, real B2B niche",/face-recognition-attendance-system + industry pages,Verified,Per project,No measured gate throughput,Feasibility check,P2,Low-Medium
Compliance: CCTV rules,Told cameras are illegal,Article corrected 22 Sep against BIS/MeitY sources,Seasonal/news-driven,/insights/cctv-new-rule-2026-india-stqc-er-compliance,Educational,n/a,OM of 16 Jan 2026 still trade-reported only,Free camera check,P3,Medium
